entry_id,metal,ligand,log_K_exp,log_K_pred,residual,dg_net,donors_raw,donors_dedup,donors_used
NIST_Mg(II)_5760_K1,Mg(II),Aminoacetic acid (Glycine),1.66,1.25,-0.41,-14.7,3,2,2
NIST_Ca(II)_5760_K1,Ca(II),Aminoacetic acid (Glycine),1.09,1.54,0.45,-12.78,3,2,2
NIST_Sr(II)_5760_K1,Sr(II),Aminoacetic acid (Glycine),0.6,0.51,-0.09,-14.67,3,2,2
NIST_La(III)_5760_K1,La(III),Aminoacetic acid (Glycine),3.1,3.61,0.51,-25.76,3,2,2
NIST_Nd(III)_5760_K1,Nd(III),Aminoacetic acid (Glycine),3.26,2.37,-0.89,-33.96,3,2,2
NIST_Eu(III)_5760_K1,Eu(III),Aminoacetic acid (Glycine),3.5,3.46,-0.04,-34.1,3,2,2
NIST_Gd(III)_5760_K1,Gd(III),Aminoacetic acid (Glycine),3.4,3.82,0.42,-32.47,3,2,2
NIST_Dy(III)_5760_K1,Dy(III),Aminoacetic acid (Glycine),3.6,1.77,-1.83,-34.29,3,2,2
NIST_Yb(III)_5760_K1,Yb(III),Aminoacetic acid (Glycine),3.9,4.13,0.23,-34.5,3,2,2
NIST_Lu(III)_5760_K1,Lu(III),Aminoacetic acid (Glycine),3.9,4.56,0.66,-32.72,3,2,2
NIST_Mn(II)_5760_K1,Mn(II),Aminoacetic acid (Glycine),2.8,1.66,-1.14,-20.24,3,2,2
NIST_Co(II)_5760_K1,Co(II),Aminoacetic acid (Glycine),4.67,2.11,-2.56,-21.72,3,2,2
NIST_Ni(II)_5760_K1,Ni(II),Aminoacetic acid (Glycine),5.74,2.66,-3.08,-21.98,3,2,2
NIST_Cu(II)_5760_K1,Cu(II),Aminoacetic acid (Glycine),8.19,3.34,-4.85,-18.36,3,2,2
NIST_Ag(I)_5760_K1,Ag(I),Aminoacetic acid (Glycine),3.2,2.45,-0.75,-8.65,3,2,2
NIST_Tl(I)_5760_K1,Tl(I),Aminoacetic acid (Glycine),1.51,-0.46,-1.97,-12.62,3,2,2
NIST_Zn(II)_5760_K1,Zn(II),Aminoacetic acid (Glycine),4.96,3.96,-1.0,-20.94,3,2,2
NIST_Cd(II)_5760_K1,Cd(II),Aminoacetic acid (Glycine),4.25,3.04,-1.21,-19.08,3,2,2
NIST_Pb(II)_5760_K1,Pb(II),Aminoacetic acid (Glycine),4.72,5.4,0.68,-19.16,3,2,2
NIST_Al(III)_5760_K1,Al(III),Aminoacetic acid (Glycine),5.91,7.76,1.85,-26.67,3,2,2
NIST_Mn(II)_5761_K1,Mn(II),L-2-Aminopropanoic acid (Alanine),2.45,1.66,-0.79,-20.24,3,2,2
NIST_Co(II)_5761_K1,Co(II),L-2-Aminopropanoic acid (Alanine),4.31,2.11,-2.2,-21.72,3,2,2
NIST_Ni(II)_5761_K1,Ni(II),L-2-Aminopropanoic acid (Alanine),5.36,2.66,-2.7,-21.98,3,2,2
NIST_Cu(II)_7652_K1,Cu(II),"3,6,9,13,16,19-Hexaaza-1,11(2,5)-difuran",14.7,14.81,0.11,-83.86,8,8,6
NIST_Fe(II)_7653_K1,Fe(II),"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-",6.64,16.13,9.49,-101.79,8,8,6
NIST_Co(II)_7653_K1,Co(II),"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-",9.05,13.26,4.21,-85.39,8,8,6
NIST_Ni(II)_7653_K1,Ni(II),"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-",11.25,15.26,4.01,-93.96,8,8,6
NIST_Cu(II)_7653_K1,Cu(II),"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-",15.19,13.68,-1.51,-77.4,8,8,6
NIST_Zn(II)_7653_K1,Zn(II),"6,16-Dioxa-3,9,13,19-tetraaza-1,11(2,6)-",8.89,10.02,1.13,-55.54,8,8,6
NIST_Co(II)_7654_K1,Co(II),"6,9,19,22-Tetraoxa-3,12,16,25-tetraaza-1",8.86,13.26,4.4,-85.39,10,10,6
NIST_Ni(II)_7654_K1,Ni(II),"6,9,19,22-Tetraoxa-3,12,16,25-tetraaza-1",11.3,15.26,3.96,-93.96,10,10,6
NIST_Cu(II)_7654_K1,Cu(II),"6,9,19,22-Tetraoxa-3,12,16,25-tetraaza-1",14.81,13.68,-1.13,-77.4,10,10,6
NIST_Zn(II)_7654_K1,Zn(II),"6,9,19,22-Tetraoxa-3,12,16,25-tetraaza-1",8.7,10.02,1.32,-55.54,10,10,6
NIST_K(I)_7655_K1,K(I),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",1.7,2.54,0.84,-13.02,8,8,6
NIST_Ca(II)_7655_K1,Ca(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",1.5,4.13,2.63,-27.61,8,8,6
NIST_Sr(II)_7655_K1,Sr(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",1.5,5.35,3.85,-42.27,8,8,8
NIST_Ba(II)_7655_K1,Ba(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",3.7,9.92,6.22,-84.37,8,8,8
NIST_Co(II)_7655_K1,Co(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",5.2,14.58,9.38,-92.9,8,8,6
NIST_Ni(II)_7655_K1,Ni(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",5.7,16.58,10.88,-101.47,8,8,6
NIST_Cu(II)_7655_K1,Cu(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",12.5,14.81,2.31,-83.86,8,8,6
NIST_Ag(I)_7655_K1,Ag(I),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",13.0,2.79,-10.21,-10.59,8,8,2
NIST_Tl(I)_7655_K1,Tl(I),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",4.1,7.68,3.58,-59.07,8,8,6
NIST_Zn(II)_7655_K1,Zn(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",6.8,11.34,4.54,-63.05,8,8,6
NIST_Cd(II)_7655_K1,Cd(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",10.7,9.25,-1.45,-54.52,8,8,6
NIST_Hg(II)_7655_K1,Hg(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",26.1,14.79,-11.31,-45.41,8,8,4
NIST_Pb(II)_7655_K1,Pb(II),"13,16,21,24-Tetramethyl-4,7-dioxa-1,10,1",15.5,11.0,-4.5,-51.16,8,8,6
NIST_Cu(II)_5761_K1,Cu(II),L-2-Aminopropanoic acid (Alanine),8.11,3.34,-4.77,-18.36,3,2,2
NIST_Tl(I)_5761_K1,Tl(I),L-2-Aminopropanoic acid (Alanine),1.48,-0.46,-1.94,-12.62,3,2,2
NIST_Zn(II)_5761_K1,Zn(II),L-2-Aminopropanoic acid (Alanine),4.58,3.96,-0.62,-20.94,3,2,2
NIST_Cd(II)_5761_K1,Cd(II),L-2-Aminopropanoic acid (Alanine),3.98,3.04,-0.94,-19.08,3,2,2
NIST_Co(II)_5762_K1,Co(II),DL-2-Aminobutanoic acid,4.23,2.11,-2.12,-21.72,3,2,2
NIST_Ni(II)_5762_K1,Ni(II),DL-2-Aminobutanoic acid,5.3,2.66,-2.64,-21.98,3,2,2
NIST_Cu(II)_5762_K1,Cu(II),DL-2-Aminobutanoic acid,8.11,3.34,-4.77,-18.36,3,2,2
NIST_Cr(III)_5762_K1,Cr(III),DL-2-Aminobutanoic acid,8.84,6.25,-2.59,-27.12,3,2,2
NIST_Zn(II)_5762_K1,Zn(II),DL-2-Aminobutanoic acid,4.54,3.96,-0.58,-20.94,3,2,2
NIST_Co(II)_5763_K1,Co(II),DL-2-Aminopentanoic acid (Norvaline),4.22,2.11,-2.11,-21.72,3,2,2
NIST_Ni(II)_5763_K1,Ni(II),DL-2-Aminopentanoic acid (Norvaline),5.35,2.66,-2.69,-21.98,3,2,2
NIST_Cu(II)_5763_K1,Cu(II),DL-2-Aminopentanoic acid (Norvaline),8.14,3.34,-4.8,-18.36,3,2,2
NIST_Ag(I)_5763_K1,Ag(I),DL-2-Aminopentanoic acid (Norvaline),3.08,2.45,-0.63,-8.65,3,2,2
NIST_Zn(II)_5763_K1,Zn(II),DL-2-Aminopentanoic acid (Norvaline),4.6,3.96,-0.64,-20.94,3,2,2
NIST_Cd(II)_5763_K1,Cd(II),DL-2-Aminopentanoic acid (Norvaline),3.73,3.04,-0.69,-19.08,3,2,2
NIST_Co(II)_5764_K1,Co(II),DL-2-Aminohexanoic acid (Norleucine),4.26,2.11,-2.15,-21.72,3,2,2
NIST_Ni(II)_5764_K1,Ni(II),DL-2-Aminohexanoic acid (Norleucine),5.35,2.66,-2.69,-21.98,3,2,2
NIST_Cu(II)_5764_K1,Cu(II),DL-2-Aminohexanoic acid (Norleucine),8.18,3.34,-4.84,-18.36,3,2,2
NIST_Zn(II)_5764_K1,Zn(II),DL-2-Aminohexanoic acid (Norleucine),4.59,3.96,-0.63,-20.94,3,2,2
NIST_Ni(II)_5765_K1,Ni(II),L-2-Amino-3-methylbutanoic acid (Valine),5.3,2.66,-2.64,-21.98,3,2,2
NIST_Cu(II)_5765_K1,Cu(II),L-2-Amino-3-methylbutanoic acid (Valine),8.1,3.34,-4.76,-18.36,3,2,2
NIST_Zn(II)_5765_K1,Zn(II),L-2-Amino-3-methylbutanoic acid (Valine),4.52,3.96,-0.56,-20.94,3,2,2
NIST_Cd(II)_5765_K1,Cd(II),L-2-Amino-3-methylbutanoic acid (Valine),3.72,3.04,-0.68,-19.08,3,2,2
NIST_Mn(II)_5766_K1,Mn(II),L-2-Amino-4-methylpentanoic acid (Leucin,2.3,1.66,-0.64,-20.24,3,2,2
NIST_Ni(II)_5766_K1,Ni(II),L-2-Amino-4-methylpentanoic acid (Leucin,5.33,2.66,-2.67,-21.98,3,2,2
NIST_Cu(II)_5766_K1,Cu(II),L-2-Amino-4-methylpentanoic acid (Leucin,8.14,3.34,-4.8,-18.36,3,2,2
NIST_Zn(II)_5766_K1,Zn(II),L-2-Amino-4-methylpentanoic acid (Leucin,4.56,3.96,-0.6,-20.94,3,2,2
NIST_Ni(II)_5767_K1,Ni(II),L-2-Amino-3-methylpentanoic acid (Isoleu,5.4,2.66,-2.74,-21.98,3,2,2
NIST_Cu(II)_5767_K1,Cu(II),L-2-Amino-3-methylpentanoic acid (Isoleu,8.14,3.34,-4.8,-18.36,3,2,2
NIST_Co(II)_5768_K1,Co(II),D-allo-2-Amino-3-methylpentanoic acid (D,4.1,2.11,-1.99,-21.72,3,2,2
NIST_Cu(II)_5768_K1,Cu(II),D-allo-2-Amino-3-methylpentanoic acid (D,8.1,3.34,-4.76,-18.36,3,2,2
NIST_Cu(II)_5769_K1,Cu(II),2-Amino-2-methylpropanoic acid (2-Aminoi,8.26,3.34,-4.92,-18.36,3,2,2
NIST_Fe(II)_5770_K1,Fe(II),DL-2-Amino-4-pentenoic acid,3.73,3.18,-0.55,-27.84,3,2,2
NIST_Co(II)_5770_K1,Co(II),DL-2-Amino-4-pentenoic acid,4.21,2.11,-2.1,-21.72,3,2,2
NIST_Ni(II)_5770_K1,Ni(II),DL-2-Amino-4-pentenoic acid,5.31,2.66,-2.65,-21.98,3,2,2
NIST_Cu(II)_5770_K1,Cu(II),DL-2-Amino-4-pentenoic acid,8.0,3.34,-4.66,-18.36,3,2,2
NIST_Ag(I)_5770_K1,Ag(I),DL-2-Amino-4-pentenoic acid,4.22,2.45,-1.77,-8.65,3,2,2
NIST_Zn(II)_5770_K1,Zn(II),DL-2-Amino-4-pentenoic acid,4.5,3.96,-0.54,-20.94,3,2,2
NIST_Cd(II)_5770_K1,Cd(II),DL-2-Amino-4-pentenoic acid,3.77,3.04,-0.73,-19.08,3,2,2
NIST_Pb(II)_5770_K1,Pb(II),DL-2-Amino-4-pentenoic acid,4.7,5.4,0.7,-19.16,3,2,2
NIST_Co(II)_5771_K1,Co(II),DL-2-Amino-5-hexenoic acid,4.24,2.11,-2.13,-21.72,3,2,2
NIST_Ni(II)_5771_K1,Ni(II),DL-2-Amino-5-hexenoic acid,5.38,2.66,-2.72,-21.98,3,2,2
NIST_Cu(II)_5771_K1,Cu(II),DL-2-Amino-5-hexenoic acid,8.09,3.34,-4.75,-18.36,3,2,2
NIST_Ag(I)_5771_K1,Ag(I),DL-2-Amino-5-hexenoic acid,3.81,2.45,-1.36,-8.65,3,2,2
NIST_Zn(II)_5771_K1,Zn(II),DL-2-Amino-5-hexenoic acid,4.49,3.96,-0.53,-20.94,3,2,2
NIST_Cd(II)_5771_K1,Cd(II),DL-2-Amino-5-hexenoic acid,3.76,3.04,-0.72,-19.08,3,2,2
NIST_Co(II)_5772_K1,Co(II),DL-2-Amino-6-heptenoic acid,4.22,2.11,-2.11,-21.72,3,2,2
NIST_Ni(II)_5772_K1,Ni(II),DL-2-Amino-6-heptenoic acid,5.32,2.66,-2.66,-21.98,3,2,2
NIST_Cu(II)_5772_K1,Cu(II),DL-2-Amino-6-heptenoic acid,8.09,3.34,-4.75,-18.36,3,2,2
NIST_Ag(I)_5772_K1,Ag(I),DL-2-Amino-6-heptenoic acid,3.34,2.45,-0.89,-8.65,3,2,2
NIST_Zn(II)_5772_K1,Zn(II),DL-2-Amino-6-heptenoic acid,4.45,3.96,-0.49,-20.94,3,2,2
NIST_Cd(II)_5772_K1,Cd(II),DL-2-Amino-6-heptenoic acid,3.75,3.04,-0.71,-19.08,3,2,2
NIST_Mn(II)_5776_K1,Mn(II),DL-Aminophenylacetic acid (Phenylglycine,2.58,1.66,-0.92,-20.24,3,2,2
NIST_Co(II)_5776_K1,Co(II),DL-Aminophenylacetic acid (Phenylglycine,3.89,2.11,-1.78,-21.72,3,2,2
NIST_Ni(II)_5776_K1,Ni(II),DL-Aminophenylacetic acid (Phenylglycine,4.98,2.66,-2.32,-21.98,3,2,2
NIST_Cu(II)_5776_K1,Cu(II),DL-Aminophenylacetic acid (Phenylglycine,7.45,3.34,-4.11,-18.36,3,2,2
NIST_Zn(II)_5776_K1,Zn(II),DL-Aminophenylacetic acid (Phenylglycine,4.13,3.96,-0.17,-20.94,3,2,2
NIST_Mn(II)_5777_K1,Mn(II),L-2-Amino-3-phenylpropanoic acid (Phenyl,2.4,1.66,-0.74,-20.24,3,2,2
NIST_Co(II)_5777_K1,Co(II),L-2-Amino-3-phenylpropanoic acid (Phenyl,3.99,2.11,-1.88,-21.72,3,2,2
NIST_Ni(II)_5777_K1,Ni(II),L-2-Amino-3-phenylpropanoic acid (Phenyl,5.15,2.66,-2.49,-21.98,3,2,2
NIST_Cu(II)_5777_K1,Cu(II),L-2-Amino-3-phenylpropanoic acid (Phenyl,7.8,3.34,-4.46,-18.36,3,2,2
NIST_Zn(II)_5777_K1,Zn(II),L-2-Amino-3-phenylpropanoic acid (Phenyl,4.31,3.96,-0.35,-20.94,3,2,2
NIST_Cd(II)_5777_K1,Cd(II),L-2-Amino-3-phenylpropanoic acid (Phenyl,3.62,3.04,-0.58,-19.08,3,2,2
NIST_Zn(II)_5778_K1,Zn(II),DL-2-Amino-3-chloropropanoic acid (3-Chl,4.63,3.96,-0.67,-20.94,3,2,2
NIST_Al(III)_5778_K1,Al(III),DL-2-Amino-3-chloropropanoic acid (3-Chl,4.05,7.76,3.71,-26.67,3,2,2
NIST_Ga(III)_5778_K1,Ga(III),DL-2-Amino-3-chloropropanoic acid (3-Chl,4.51,16.01,11.5,-39.73,3,2,2
NIST_Zn(II)_5779_K1,Zn(II),DL-2-Amino-3-chlorobutanoic acid,4.75,3.96,-0.79,-20.94,3,2,2
NIST_Al(III)_5779_K1,Al(III),DL-2-Amino-3-chlorobutanoic acid,4.13,7.76,3.63,-26.67,3,2,2
NIST_Ga(III)_5779_K1,Ga(III),DL-2-Amino-3-chlorobutanoic acid,4.89,16.01,11.12,-39.73,3,2,2
NIST_Mn(II)_5786_K1,Mn(II),DL-Amino-4-sulfophenylacetic acid (4-Sul,2.29,4.74,2.45,-37.85,7,4,4
NIST_Co(II)_5786_K1,Co(II),DL-Amino-4-sulfophenylacetic acid (4-Sul,4.01,5.4,1.39,-40.51,7,4,4
NIST_Ni(II)_5786_K1,Ni(II),DL-Amino-4-sulfophenylacetic acid (4-Sul,5.11,6.04,0.93,-41.33,7,4,4
NIST_Cu(II)_5786_K1,Cu(II),DL-Amino-4-sulfophenylacetic acid (4-Sul,7.45,11.72,4.27,-66.22,7,4,4
NIST_Zn(II)_5786_K1,Zn(II),DL-Amino-4-sulfophenylacetic acid (4-Sul,4.28,7.01,2.73,-38.32,7,4,4
NIST_Cu(II)_5787_K1,Cu(II),DL-2-Amino-4-sulfobutanoic acid (Homocys,7.92,11.72,3.8,-66.22,7,4,4
NIST_Co(II)_5788_K1,Co(II),3-Aminopropanoic acid (beta-Alanine),3.58,2.11,-1.47,-21.72,3,2,2
NIST_Ni(II)_5788_K1,Ni(II),3-Aminopropanoic acid (beta-Alanine),4.54,2.66,-1.88,-21.98,3,2,2
NIST_Cu(II)_5788_K1,Cu(II),3-Aminopropanoic acid (beta-Alanine),7.08,3.34,-3.74,-18.36,3,2,2
NIST_Co(II)_5789_K1,Co(II),DL-3-Aminobutanoic acid,3.53,2.11,-1.42,-21.72,3,2,2
NIST_Ni(II)_5789_K1,Ni(II),DL-3-Aminobutanoic acid,4.58,2.66,-1.92,-21.98,3,2,2
NIST_Cu(II)_5789_K1,Cu(II),DL-3-Aminobutanoic acid,7.13,3.34,-3.79,-18.36,3,2,2
NIST_Cu(II)_5797_K1,Cu(II),4-Aminobutanoic acid,5.47,3.34,-2.13,-18.36,3,2,2
NIST_Cu(II)_5801_K1,Cu(II),Aminopropanedioic acid (Aminomalonic aci,9.85,5.27,-4.58,-29.4,5,3,3
NIST_Na(I)_5802_K1,Na(I),L-Aminobutanedioic acid (Aspartic acid),0.08,1.08,1.0,-5.26,5,3,3
NIST_Mg(II)_5802_K1,Mg(II),L-Aminobutanedioic acid (Aspartic acid),2.4,2.43,0.03,-21.43,5,3,3
NIST_Ca(II)_5802_K1,Ca(II),L-Aminobutanedioic acid (Aspartic acid),1.7,2.66,0.96,-19.2,5,3,3
NIST_Sr(II)_5802_K1,Sr(II),L-Aminobutanedioic acid (Aspartic acid),1.5,1.56,0.06,-20.66,5,3,3
NIST_Ba(II)_5802_K1,Ba(II),L-Aminobutanedioic acid (Aspartic acid),1.1,0.16,-0.94,-28.66,5,3,3
NIST_Nd(III)_5802_K1,Nd(III),L-Aminobutanedioic acid (Aspartic acid),5.36,3.89,-1.47,-42.68,5,3,3
NIST_Eu(III)_5802_K1,Eu(III),L-Aminobutanedioic acid (Aspartic acid),5.62,5.01,-0.61,-42.96,5,3,3
NIST_Gd(III)_5802_K1,Gd(III),L-Aminobutanedioic acid (Aspartic acid),5.74,5.23,-0.51,-40.55,5,3,3
NIST_Dy(III)_5802_K1,Dy(III),L-Aminobutanedioic acid (Aspartic acid),5.85,3.36,-2.49,-43.35,5,3,3
NIST_Yb(III)_5802_K1,Yb(III),L-Aminobutanedioic acid (Aspartic acid),6.18,5.75,-0.43,-43.76,5,3,3
NIST_Lu(III)_5802_K1,Lu(III),L-Aminobutanedioic acid (Aspartic acid),6.25,6.03,-0.22,-41.12,5,3,3
NIST_Co(II)_5802_K1,Co(II),L-Aminobutanedioic acid (Aspartic acid),5.95,3.88,-2.07,-31.82,5,3,3
NIST_Ni(II)_5802_K1,Ni(II),L-Aminobutanedioic acid (Aspartic acid),7.16,4.47,-2.69,-32.32,5,3,3
NIST_Cu(II)_5802_K1,Cu(II),L-Aminobutanedioic acid (Aspartic acid),8.89,5.27,-3.62,-29.4,5,3,3
NIST_Zn(II)_5802_K1,Zn(II),L-Aminobutanedioic acid (Aspartic acid),5.87,5.68,-0.19,-30.72,5,3,3
NIST_Cd(II)_5802_K1,Cd(II),L-Aminobutanedioic acid (Aspartic acid),4.35,4.83,0.48,-29.3,5,3,3
NIST_Pb(II)_5802_K1,Pb(II),L-Aminobutanedioic acid (Aspartic acid),6.08,7.0,0.92,-28.3,5,3,3
NIST_Al(III)_5802_K1,Al(III),L-Aminobutanedioic acid (Aspartic acid),7.87,8.66,0.79,-31.8,5,3,3
NIST_In(III)_5802_K1,In(III),L-Aminobutanedioic acid (Aspartic acid),9.56,15.12,5.56,-56.43,5,3,3
NIST_Mg(II)_5804_K1,Mg(II),L-2-Aminopentanedioic acid (Glutamic aci,1.9,2.43,0.53,-21.43,5,3,3
NIST_Ca(II)_5804_K1,Ca(II),L-2-Aminopentanedioic acid (Glutamic aci,1.43,2.66,1.23,-19.2,5,3,3
NIST_Sr(II)_5804_K1,Sr(II),L-2-Aminopentanedioic acid (Glutamic aci,1.37,1.56,0.19,-20.66,5,3,3
NIST_Ba(II)_5804_K1,Ba(II),L-2-Aminopentanedioic acid (Glutamic aci,1.28,0.16,-1.12,-28.66,5,3,3
NIST_Co(II)_5804_K1,Co(II),L-2-Aminopentanedioic acid (Glutamic aci,4.56,3.88,-0.68,-31.82,5,3,3
NIST_Ni(II)_5804_K1,Ni(II),L-2-Aminopentanedioic acid (Glutamic aci,5.61,4.47,-1.14,-32.32,5,3,3
NIST_Cu(II)_5804_K1,Cu(II),L-2-Aminopentanedioic acid (Glutamic aci,8.32,5.27,-3.05,-29.4,5,3,3
NIST_Ag(I)_5804_K1,Ag(I),L-2-Aminopentanedioic acid (Glutamic aci,3.79,2.45,-1.34,-8.65,5,3,2
NIST_Cd(II)_5804_K1,Cd(II),L-2-Aminopentanedioic acid (Glutamic aci,3.8,4.83,1.03,-29.3,5,3,3
NIST_Al(III)_5804_K1,Al(III),L-2-Aminopentanedioic acid (Glutamic aci,7.29,8.66,1.37,-31.8,5,3,3
NIST_Cu(II)_5805_K1,Cu(II),DL-2-Amino-2-methylpentanedioic acid (2-,7.97,5.27,-2.7,-29.4,5,3,3
NIST_Zn(II)_5807_K1,Zn(II),DL-2-Amino-3-hydroxypentanedioic acid (3,4.65,6.69,2.04,-36.49,6,4,4
NIST_Al(III)_5807_K1,Al(III),DL-2-Amino-3-hydroxypentanedioic acid (3,4.87,9.23,4.36,-35.05,6,4,4
NIST_Ga(III)_5807_K1,Ga(III),DL-2-Amino-3-hydroxypentanedioic acid (3,6.78,18.65,11.87,-54.76,6,4,4
NIST_Mg(II)_5809_K1,Mg(II),L-2-Amino-3-phosphopropanoic acid (Phosp,2.2,4.3,2.1,-32.12,7,4,4
NIST_Ca(II)_5809_K1,Ca(II),L-2-Amino-3-phosphopropanoic acid (Phosp,1.9,4.51,2.61,-29.77,7,4,4
NIST_Mn(II)_5809_K1,Mn(II),L-2-Amino-3-phosphopropanoic acid (Phosp,3.81,5.66,1.85,-43.1,7,4,4
NIST_Co(II)_5809_K1,Co(II),L-2-Amino-3-phosphopropanoic acid (Phosp,5.35,6.17,0.82,-44.93,7,4,4
NIST_Ni(II)_5809_K1,Ni(II),L-2-Amino-3-phosphopropanoic acid (Phosp,6.35,6.76,0.41,-45.43,7,4,4
NIST_Cu(II)_5809_K1,Cu(II),L-2-Amino-3-phosphopropanoic acid (Phosp,9.5,11.97,2.47,-67.67,7,4,4
NIST_Fe(III)_5809_K1,Fe(III),L-2-Amino-3-phosphopropanoic acid (Phosp,14.0,19.33,5.33,-60.93,7,4,4
NIST_Zn(II)_5809_K1,Zn(II),L-2-Amino-3-phosphopropanoic acid (Phosp,5.84,7.91,2.07,-43.49,7,4,4
NIST_Al(III)_5809_K1,Al(III),L-2-Amino-3-phosphopropanoic acid (Phosp,4.79,11.58,6.79,-48.47,7,4,4
NIST_Ga(III)_5809_K1,Ga(III),L-2-Amino-3-phosphopropanoic acid (Phosp,6.18,21.0,14.82,-68.18,7,4,4
NIST_Co(II)_5813_K1,Co(II),DL-2-Amino-3-phosphonopropanoic acid,6.22,5.28,-0.94,-39.81,6,3,3
NIST_Ni(II)_5813_K1,Ni(II),DL-2-Amino-3-phosphonopropanoic acid,7.38,5.87,-1.51,-40.31,6,3,3
NIST_Cu(II)_5813_K1,Cu(II),DL-2-Amino-3-phosphonopropanoic acid,9.6,6.6,-3.0,-36.99,6,3,3
NIST_Zn(II)_5813_K1,Zn(II),DL-2-Amino-3-phosphonopropanoic acid,7.15,7.07,-0.08,-38.71,6,3,3
NIST_Co(II)_5814_K1,Co(II),DL-2-Amino-4-phosphonobutanoic acid,5.44,5.28,-0.16,-39.81,6,3,3
NIST_Ni(II)_5814_K1,Ni(II),DL-2-Amino-4-phosphonobutanoic acid,6.41,5.87,-0.54,-40.31,6,3,3
NIST_Cu(II)_5814_K1,Cu(II),DL-2-Amino-4-phosphonobutanoic acid,9.19,6.6,-2.59,-36.99,6,3,3
NIST_Zn(II)_5814_K1,Zn(II),DL-2-Amino-4-phosphonobutanoic acid,6.55,7.07,0.52,-38.71,6,3,3
NIST_Co(II)_5815_K1,Co(II),DL-3-Amino-2-phosphonopropanoic acid,6.56,5.28,-1.28,-39.81,6,3,3
NIST_Ni(II)_5815_K1,Ni(II),DL-3-Amino-2-phosphonopropanoic acid,7.23,5.87,-1.36,-40.31,6,3,3
NIST_Cu(II)_5815_K1,Cu(II),DL-3-Amino-2-phosphonopropanoic acid,9.34,6.6,-2.74,-36.99,6,3,3
NIST_Zn(II)_5815_K1,Zn(II),DL-3-Amino-2-phosphonopropanoic acid,6.62,7.07,0.45,-38.71,6,3,3
NIST_Mn(II)_5828_K1,Mn(II),L-2-Amino-3-hydroxypropanoic acid (Serin,2.5,2.69,0.19,-26.14,4,3,3
NIST_Fe(II)_5828_K1,Fe(II),L-2-Amino-3-hydroxypropanoic acid (Serin,3.65,4.12,0.47,-33.21,4,3,3
NIST_Co(II)_5828_K1,Co(II),L-2-Amino-3-hydroxypropanoic acid (Serin,4.35,3.14,-1.21,-27.61,4,3,3
NIST_Ni(II)_5828_K1,Ni(II),L-2-Amino-3-hydroxypropanoic acid (Serin,5.4,3.69,-1.71,-27.88,4,3,3
NIST_Cu(II)_5828_K1,Cu(II),L-2-Amino-3-hydroxypropanoic acid (Serin,7.9,4.48,-3.42,-24.92,4,3,3
NIST_Tl(I)_5828_K1,Tl(I),L-2-Amino-3-hydroxypropanoic acid (Serin,1.53,0.29,-1.24,-16.9,4,3,3
NIST_Zn(II)_5828_K1,Zn(II),L-2-Amino-3-hydroxypropanoic acid (Serin,4.6,4.94,0.34,-26.51,4,3,3
NIST_Cd(II)_5828_K1,Cd(II),L-2-Amino-3-hydroxypropanoic acid (Serin,3.77,4.18,0.41,-25.57,4,3,3
NIST_Al(III)_5828_K1,Al(III),L-2-Amino-3-hydroxypropanoic acid (Serin,5.7,8.35,2.65,-30.03,4,3,3
NIST_Mn(II)_5829_K1,Mn(II),L-2-Amino-3-hydroxybutanoic acid (Threon,2.49,2.69,0.2,-26.14,4,3,3
NIST_Fe(II)_5829_K1,Fe(II),L-2-Amino-3-hydroxybutanoic acid (Threon,3.64,4.12,0.48,-33.21,4,3,3
NIST_Co(II)_5829_K1,Co(II),L-2-Amino-3-hydroxybutanoic acid (Threon,4.36,3.14,-1.22,-27.61,4,3,3
NIST_Ni(II)_5829_K1,Ni(II),L-2-Amino-3-hydroxybutanoic acid (Threon,5.46,3.69,-1.77,-27.88,4,3,3
NIST_Cu(II)_5829_K1,Cu(II),L-2-Amino-3-hydroxybutanoic acid (Threon,7.99,4.48,-3.51,-24.92,4,3,3
NIST_Zn(II)_5829_K1,Zn(II),L-2-Amino-3-hydroxybutanoic acid (Threon,4.63,4.94,0.31,-26.51,4,3,3
NIST_Cd(II)_5829_K1,Cd(II),L-2-Amino-3-hydroxybutanoic acid (Threon,3.9,4.18,0.28,-25.57,4,3,3
